uuid,title,slide_url,paper_url
dae6b395-5f7b-40df-823d-dc2d2850875a,Formalizing Generalization and Adversarial Robustness of Neural Networks to Weight Perturbations,nips.cc/media/neurips-2021/Slides/27159.pdf,openreview.net/pdf?id=hOG8swMRmY
3f50b76d-e7bc-44ea-909f-29985a323073,Understanding the Limits of Unsupervised Domain Adaptation via Data Poisoning,nips.cc/media/neurips-2021/Slides/28031.pdf,openreview.net/pdf?id=1TuwAYxRAC
23b2d8d0-9b26-4695-b7cd-1b10245d59cf,Grad2Task: Improved Few-shot Text Classification Using Gradients for Task Representation,nips.cc/media/neurips-2021/Slides/26349.pdf,openreview.net/pdf?id=jScy7BjbZeQ
2645294a-1f3e-48e5-babe-700540c8db9c,Proxy-Normalizing Activations to Match Batch Normalization while Removing Batch Dependence,nips.cc/media/neurips-2021/Slides/26318_BEoq5Wh.pdf,openreview.net/pdf?id=pzmwfDLoANS
e771b052-8388-4e87-a9f6-3910e1e8f02a,Adversarial Robustness without Adversarial Training: A Teacher-Guided Curriculum Learning Approach,nips.cc/media/neurips-2021/Slides/26314.pdf,openreview.net/pdf?id=MqCzSKCQ1QB
b85684eb-f5a5-464b-a677-3fcb363cbdb2,Unsupervised Part Discovery from Contrastive Reconstruction,nips.cc/media/neurips-2021/Slides/26254.pdf,openreview.net/pdf?id=iHXQPrISusS
8107ed12-474a-461a-b057-f47e31cd4f32,Finding Optimal Tangent Points for Reducing Distortions of Hard-label Attacks,nips.cc/media/neurips-2021/Slides/27350.pdf,openreview.net/pdf?id=g0wang64Zjd
b4d0bc4a-7322-4b68-b86e-2d7c88222640,SILG: The Multi-domain Symbolic Interactive Language Grounding Benchmark,nips.cc/media/neurips-2021/Slides/26214.pdf,openreview.net/pdf?id=ZCDObqK6ifu
20f2cafb-9d07-4470-b0c0-1c64a412ded2,An Infinite-Feature Extension for Bayesian ReLU Nets That Fixes Their Asymptotic Overconfidence,nips.cc/media/neurips-2021/Slides/26165.pdf,openreview.net/pdf?id=ehzq1YQrucI
32d2c63e-9fb5-4f02-9992-1e5a9e8266b8,Improving Robustness using Generated Data,nips.cc/media/neurips-2021/Slides/31622.pdf,proceedings.neurips.cc/paper/2021/file/21ca6d0cf2f25c4dbb35d8dc0b679c3f-Paper.pdf
e0a7d246-4a03-4a9d-a478-ed5c732950fe,Recurrent Submodular Welfare and Matroid Blocking Semi-Bandits,nips.cc/media/neurips-2021/Slides/27809.pdf,openreview.net/pdf?id=lS-ocNKV-u
9fe3cd75-6193-46b7-87ee-6355d4196b63,On Success and Simplicity: A Second Look at Transferable Targeted Attacks,nips.cc/media/neurips-2021/Slides/26087.pdf,openreview.net/pdf?id=aHK-onEhYRg
3b7637c5-7fbb-4d48-bf2e-10e6123ab0a4,Accommodating Picky Customers: Regret Bound and Exploration Complexity for Multi-Objective Reinforcement Learning,nips.cc/media/neurips-2021/Slides/27967.pdf,openreview.net/pdf?id=xdk17QJpf5q
a67a2606-69a7-411f-ae10-2349fd014048,MagNet: A Neural Network for Directed Graphs,nips.cc/media/neurips-2021/Slides/26382.pdf,openreview.net/pdf?id=TRDAFiwDq8A
2aadf56a-d5e3-457f-81c9-fbaa2896221a,AugMax: Adversarial Composition of Random Augmentations for Robust Training,nips.cc/media/neurips-2021/Slides/26387_SpxnbZ9.pdf,openreview.net/pdf?id=P5MtdcVdFZ4
e6fefbbf-c312-4ec6-8891-c245a33bd1c6,Densely connected normalizing flows,nips.cc/media/neurips-2021/Slides/28026.pdf,openreview.net/pdf?id=JNSwviqJhS
464174e6-16c0-4ef4-bdfe-94e17aee9b46,Multi-Person 3D Motion Prediction with Multi-Range Transformers,nips.cc/media/neurips-2021/Slides/26050.pdf,openreview.net/pdf?id=gCaaFNvjfpPe
3c3466cd-2db6-49cd-99b8-2b253b76fe62,When Expressivity Meets Trainability: Fewer than $n$ Neurons Can Work,nips.cc/media/neurips-2021/Slides/33025.pdf,openreview.net/pdf?id=K_MD-PMTLtA
