,titles,slides,papers
100,ActNN: Reducing Training Memory Footprint via 2-Bit Activation Compressed Training,icml.cc/media/icml-2021/Slides/9443.pdf,proceedings.mlr.press/v139/chen21z/chen21z.pdf
101,Householder Sketch for Accurate and Accelerated Least-Mean-Squares Solvers,icml.cc/media/icml-2021/Slides/9399.pdf,proceedings.mlr.press/v139/dass21a/dass21a.pdf
102,Augmented World Models Facilitate Zero-Shot Dynamics Generalization From a Single Offline Environment,icml.cc/media/icml-2021/Slides/10307.pdf,proceedings.mlr.press/v139/ball21a/ball21a.pdf
103,Sequential Domain Adaptation by Synthesizing Distributionally Robust Experts,icml.cc/media/icml-2021/Slides/10743.pdf,proceedings.mlr.press/v139/taskesen21a/taskesen21a.pdf
104,Learning Fair Policies in Decentralized Cooperative Multi-Agent Reinforcement Learning,icml.cc/media/icml-2021/Slides/9253.pdf,proceedings.mlr.press/v139/zimmer21a/zimmer21a.pdf
105,From Local to Global Norm Emergence: Dissolving Self-reinforcing Substructures with Incremental Social Instruments,icml.cc/media/icml-2021/Slides/10711.pdf,proceedings.mlr.press/v139/liu21n/liu21n.pdf
106,Towards Domain-Agnostic Contrastive Learning,icml.cc/media/icml-2021/Slides/10693.pdf,proceedings.mlr.press/v139/verma21a/verma21a.pdf
107,Safe Reinforcement Learning with Linear Function Approximation,icml.cc/media/icml-2021/Slides/9847.pdf,proceedings.mlr.press/v139/amani21a/amani21a.pdf
108,Is Pessimism Provably Efficient for Offline RL?,icml.cc/media/icml-2021/Slides/10409.pdf,proceedings.mlr.press/v139/jin21e/jin21e.pdf
109,Structured Convolutional Kernel Networks for Airline Crew Scheduling,icml.cc/media/icml-2021/Slides/9175.pdf,proceedings.mlr.press/v139/yaakoubi21a/yaakoubi21a.pdf
110,Data Augmentation for Meta-Learning,icml.cc/media/icml-2021/Slides/10493.pdf,proceedings.mlr.press/v139/ni21a/ni21a.pdf
111,AlphaNet: Improved Training of Supernets with Alpha-Divergence,icml.cc/media/icml-2021/Slides/9165.pdf,proceedings.mlr.press/v139/wang21i/wang21i.pdf
112,Optimal regret algorithm for Pseudo-1d Bandit Convex Optimization,icml.cc/media/icml-2021/Slides/10431.pdf,proceedings.mlr.press/v139/saha21c/saha21c.pdf
113,DFAC Framework: Factorizing the Value Function via Quantile Mixture for Multi-Agent Distributional Q-Learning,icml.cc/media/icml-2021/Slides/9111_JMvcWHA.pdf,proceedings.mlr.press/v139/sun21c/sun21c.pdf
114,Differentiable Spatial Planning using Transformers,icml.cc/media/icml-2021/Slides/9101.pdf,proceedings.mlr.press/v139/chaplot21a/chaplot21a.pdf
115,Variational Empowerment as Representation Learning for Goal-Conditioned Reinforcement Learning,icml.cc/media/icml-2021/Slides/10367.pdf,proceedings.mlr.press/v139/choi21b/choi21b.pdf
116,Training Graph Neural Networks with 1000 Layers,icml.cc/media/icml-2021/Slides/10455.pdf,proceedings.mlr.press/v139/li21o/li21o.pdf
117,Cooperative Exploration for Multi-Agent Deep Reinforcement Learning,icml.cc/media/icml-2021/Slides/8947.pdf,proceedings.mlr.press/v139/liu21j/liu21j.pdf
118,Unbiased Gradient Estimation in Unrolled Computation Graphs with Persistent Evolution Strategies,icml.cc/media/icml-2021/Slides/10175.pdf,proceedings.mlr.press/v139/vicol21a/vicol21a.pdf
119,MURAL: Meta-Learning Uncertainty-Aware Rewards for Outcome-Driven Reinforcement Learning,icml.cc/media/icml-2021/Slides/8943.pdf,proceedings.mlr.press/v139/li21g/li21g.pdf
120,GraphNorm: A Principled Approach to Accelerating Graph Neural Network Training,icml.cc/media/icml-2021/Slides/10655_KLtUTML.pdf,proceedings.mlr.press/v139/cai21e/cai21e.pdf
121,PsiPhi-Learning: Reinforcement Learning with Demonstrations using Successor Features and Inverse Temporal Difference Learning,icml.cc/media/icml-2021/Slides/10119.pdf,proceedings.mlr.press/v139/filos21a/filos21a.pdf
122,Learning and Planning in Average-Reward Markov Decision Processes,icml.cc/media/icml-2021/Slides/10105.pdf,proceedings.mlr.press/v139/wan21a/wan21a.pdf
123,Lipschitz normalization for self-attention layers with application to graph neural networks,icml.cc/media/icml-2021/Slides/8537.pdf,proceedings.mlr.press/v139/dasoulas21a/dasoulas21a.pdf
124,BASGD: Buffered Asynchronous SGD for Byzantine Learning,icml.cc/media/icml-2021/Slides/8819.pdf,proceedings.mlr.press/v139/yang21e/yang21e.pdf
125,"Whitening and Second Order Optimization Both Make Information in the Dataset Unusable During Training, and Can Reduce or Prevent Generalization",icml.cc/media/icml-2021/Slides/8717.pdf,proceedings.mlr.press/v139/wadia21a/wadia21a.pdf
126,Regularized Submodular Maximization at Scale,icml.cc/media/icml-2021/Slides/8669.pdf,proceedings.mlr.press/v139/kazemi21a/kazemi21a.pdf
127,Think Global and Act Local: Bayesian Optimisation over High-Dimensional Categorical and Mixed Search Spaces,icml.cc/media/icml-2021/Slides/8551.pdf,proceedings.mlr.press/v139/wan21b/wan21b.pdf
128,Equivariant message passing for the prediction of tensorial properties and molecular spectra,icml.cc/media/icml-2021/Slides/8499.pdf,proceedings.mlr.press/v139/schutt21a/schutt21a.pdf
129,DouZero: Mastering DouDizhu with Self-Play Deep Reinforcement Learning,icml.cc/media/icml-2021/Slides/8445.pdf,proceedings.mlr.press/v139/zha21a/zha21a.pdf
130,Soft then Hard: Rethinking the Quantization in Neural Image Compression,icml.cc/media/icml-2021/Slides/8433.pdf,proceedings.mlr.press/v139/guo21c/guo21c.pdf
131,Partially Observed Exchangeable Modeling,icml.cc/media/icml-2021/Slides/10531.pdf,proceedings.mlr.press/v139/li21q/li21q.pdf
132,Generalizable Episodic Memory for Deep Reinforcement Learning,icml.cc/media/icml-2021/Slides/9885.pdf,proceedings.mlr.press/v139/hu21d/hu21d.pdf
133,Fast Stochastic Bregman Gradient Methods: Sharp Analysis and Variance Reduction,icml.cc/media/icml-2021/Slides/9483.pdf,proceedings.mlr.press/v139/dragomir21a/dragomir21a.pdf
134,Weight-covariance alignment for adversarially robust neural networks,icml.cc/media/icml-2021/Slides/9309.pdf,proceedings.mlr.press/v139/eustratiadis21a/eustratiadis21a.pdf
135,Training Quantized Neural Networks to Global Optimality via Semidefinite Programming,icml.cc/media/icml-2021/Slides/9259.pdf,proceedings.mlr.press/v139/bartan21a/bartan21a.pdf
136,LARNet: Lie Algebra Residual Network for Face Recognition,icml.cc/media/icml-2021/Slides/9233.pdf,proceedings.mlr.press/v139/yang21d/yang21d.pdf
137,Just Train Twice: Improving Group Robustness without Training Group Information,icml.cc/media/icml-2021/Slides/9147.pdf,proceedings.mlr.press/v139/liu21f/liu21f.pdf
138,Instance Specific Approximations for Submodular Maximization,icml.cc/media/icml-2021/Slides/9073.pdf,proceedings.mlr.press/v139/balkanski21a/balkanski21a.pdf
139,CATE: Computation-aware Neural Architecture Encoding with Transformers,icml.cc/media/icml-2021/Slides/9051.pdf,proceedings.mlr.press/v139/yan21c/yan21c.pdf
140,GMAC: A Distributional Perspective on Actor-Critic Framework,icml.cc/media/icml-2021/Slides/8971.pdf,proceedings.mlr.press/v139/nam21a/nam21a.pdf
141,Quantitative Understanding of VAE as a Non-linearly Scaled Isometric Embedding,icml.cc/media/icml-2021/Slides/8879.pdf,proceedings.mlr.press/v139/nakagawa21a/nakagawa21a.pdf
142,Optimization of Graph Neural Networks: Implicit Acceleration by Skip Connections and More Depth,icml.cc/media/icml-2021/Slides/8619.pdf,proceedings.mlr.press/v139/xu21k/xu21k.pdf
143,On Characterizing GAN Convergence Through Proximal Duality Gap,icml.cc/media/icml-2021/Slides/8559.pdf,proceedings.mlr.press/v139/sidheekh21a/sidheekh21a.pdf
144,A Riemannian Block Coordinate Descent Method for Computing the Projection Robust Wasserstein Distance,icml.cc/media/icml-2021/Slides/8477.pdf,proceedings.mlr.press/v139/huang21e/huang21e.pdf
145,Learning from History for Byzantine Robust Optimization,icml.cc/media/icml-2021/Slides/9987.pdf,proceedings.mlr.press/v139/karimireddy21a/karimireddy21a.pdf
146,Towards Rigorous Interpretations: a Formalisation of Feature Attribution,icml.cc/media/icml-2021/Slides/10687.pdf,proceedings.mlr.press/v139/afchar21a/afchar21a.pdf
